"article_id","cites_article_id"
"9","1"
"9","807"
"9","22944"
"9","31937"
"9","32279"
"9","47972"
"9","47989"
"9","52021"
"9","87462"
"9","90875"
"9","90880"
"9","120966"
"9","128027"
"9","137551"
"9","137592"
"9","198046"
"9","214043"
"9","214044"
"9","220564"
"9","220565"
"9","220566"
"9","220567"
"9","220568"
"9","220569"
"9","220570"
"9","220571"
"9","220572"
"9","220573"
"9","220574"
"9","220575"
"9","220576"
"9","220577"
"9","220578"
"9","220579"
"19","1"
"19","14273"
"19","15302"
"19","27404"
"19","42440"
"19","51063"
"19","58892"
"19","87484"
"19","99343"
"19","148711"
"19","200668"
"19","204873"
"19","220797"
"19","267921"
"19","272806"
"19","356958"
"19","368217"
"19","370470"
"19","370471"
"19","370472"
"19","370473"
"19","370474"
"19","370475"
"19","370476"
"19","370477"
"19","370478"
"19","370479"
"20","1"
"20","52013"
"20","52014"
"20","52015"
"20","52016"
"20","52017"
"20","52018"
"20","52019"
"20","52020"
"20","52021"
"20","52022"
"20","52023"
"22","1"
"22","123"
"22","128"
"22","148"
"22","807"
"22","821"
"22","8707"
"22","13678"
"22","13757"
"22","21435"
"22","22947"
"22","22951"
"22","22955"
"22","22960"
"22","37433"
"22","46384"
"22","46763"
"22","87446"
"22","87447"
"22","87448"
"22","87449"
"22","87450"
"22","87451"
"22","87452"
"22","87453"
"22","87454"
"22","87455"
